intro_locality,intro_region
Irish Part Of The Irish Sea And St. George's Channel,NE Atlantic
Langebaan Bay,SE Atlantic
Port Elizaberth (Harbour),W Indian
United Kingdom Part Of The Celtic Sea,NE Atlantic
French Part Of The Bay Of Biscay,NE Atlantic
Finland,Baltic
False Bay (South Shetland Islands),South
Mossel Bay,W Indian
Knysna,W Indian
North Atlantic,NE Atlantic; NW Atlantic
Alexander Bay,SE Atlantic
Durban Bay,W Indian
Table Bay,SE Atlantic
Auckland,SW Pacific
United States Part Of The North Atlantic Ocean,NW Atlantic
Australian Exclusive Economic Zone,SW Pacific; South; E Indian
Spanish Part Of The Balearic Sea,Mediterranean
Canadian Part Of The Gulf Of St-Lawrence,NW Atlantic
United States Part Of The North Pacific Ocean,NW Pacific
China,NW Pacific
Canadian Part Of The North Atlantic Ocean,NW Atlantic
Japan,NW Pacific
Chile,SE Pacific
Australia,SW Pacific; South; E Indian
Australian Part Of The Tasman Sea,SW Pacific
Canada,NE Pacific; NW Atlantic
Japanese Part Of The Philippine Sea,NW Pacific
United Kingdom Part Of The North Sea,NE Atlantic
Germany,Baltic; NE Atlantic
United Kingdom Part Of The English Channel,NE Atlantic
Australian Part Of The Bass Strait,South
Irish Part Of The Celtic Sea,NE Atlantic
Dutch Part Of The North Sea,NE Atlantic
Mexican Part Of The North Pacific Ocean,NE Pacific
Brazil,SW Atlantic
South Atlantic,"SE Atlantic, SW Atlantic"
Hawaiian Part Of The North Pacific Ocean,NE Pacific
Swedish Part Of The Baltic Sea,Baltic
Black Sea,Black
Israeli Part Of The Mediterranean Sea - Eastern Basin,Mediterranean
Belgian Part Of The North Sea,NW Atlantic
Danish Part Of The Kattegat,NW Atlantic
Baltic Sea,Baltic
Belgian Exclusive Economic Zone,NW Atlantic
Aegean Sea,Mediterranean
Italian Part Of The Ligurian Sea,Mediterranean
Italian Part Of The Tyrrhenian Sea,Mediterranean
Swedish Part Of The Skagerrak,NW Atlantic
Mediterranean Sea - Eastern Basin,Mediterranean
Albania,Mediterranean
Greek Part Of The Ionian Sea,Mediterranean
German Part Of The North Sea,NW Atlantic
Egypt,Mediterranean; Red
Adriatic Sea,Mediterranean
Australian Part Of The Great Australian Bight,South
United States Exclusive Economic Zone,NE Pacific; NW Atlantic
Hout Bay,SE Atlantic
Belizean Part Of The Caribbean Sea,NW Atlantic
Brazilian Part Of The South Atlantic Ocean,SW Atlantic
Swedish Exclusive Economic Zone,Baltic; NE Atlantic
Sweden,Baltic; NE Atlantic
Swedish Part Of The Kattegat,NE Atlantic
Azores Part Of The North Atlantic Ocean,NE Atlantic
Canary Islands Part Of The North Atlantic Ocean,NE Atlantic
China Sea,NW Pacific
Scandinavia,NE Atlantic
Romanian Part Of The Black Sea,Black
Mediterranean Sea - Western Basin,Mediterranean
Espírito Santo,SW Atlantic
Spanish Part Of The North Atlantic Ocean,NE Atlantic
Australian Part Of The Coral Sea,SW Pacific
Bay Of Ilha Grande,SW Atlantic
Port Nolloth,SE Atlantic
Celtic Sea,NE Atlantic
New Zealand,SW Pacific
Simon's Town Harbour,SE Atlantic
Saldanha Bay,SW Atlanic
Fundy Bay,NW Atlantic
United States,NW Atlantic; NE Pacific
United States Part Of The Gulf Of Mexico,NW Atlantic
South Korea,NW Pacific
Madeiran Part Of The North Atlantic Ocean,NE Atlantic
Turkish Part Of The Mediterranean Sea - Eastern Basin,Mediterranean
Portuguese Part Of The North Atlantic Ocean,NE Atlantic
Venezuela,NW Atlantic
Azov Sea,Black Sea
Luxembourg,
Ukraine,Black Sea
Norwegian Part Of The Norwegian Sea,Arctic
South Georgia,South
Marion Island,South
Crozet Islands,South
Kerguelen Islands,South
Macquarie Island,South
North Sea,NE Atlantic
Greek Part Of The Aegean Sea,Mediterranean
Bahamas,NW Atlantic
Belarus,
Odra Estuary,Baltic
Syrian Part Of The Mediterranean Sea - Eastern Basin,Mediterranean
Polish Part Of The Baltic Sea,Baltic
Serbia,Mediterranean
Levantine Sea,Mediterranean
Italian Part Of The Ionian Sea,Mediterranean
Milnerton Lagoon,SE Atlantic
Berg Rivier,SE Atlantic
Argentina,SE Pacific
Tunisia,Mediterranean
South Africa (Country),SE Atlantic; W Indian
Slovenian Part Of The Adriatic Sea,Mediterranean
Italy,Mediterranean
Uruguay,SW Atlantic
Turkish Part Of The Aegean Sea,Mediterranean
Russian Part Of The Japan Sea,NW Pacific
Marmara Sea,Mediterranean
Cape Town,SE Atlantic
Port Elizabeth,Indian
Portugal,NE Atlantic
Alboran Sea,Mediterranean
Ionian Sea,Mediterranean
Tunisian Part Of The Mediterranean Sea - Western Basin,Mediterranean
Algerian Part Of The Alboran Sea,Mediterranean
Turkey,Mediterranean; Black
Mexican Part Of The Gulf Of Mexico,NW Atlantic
Maltese Part Of The Mediterranean Sea - Eastern Basin,Mediterranean
Norway,NE Atlantic; Arctic
Coastal Waters Of Southeast Alaska And British Columbia,NE Pacific
California,NE Pacific
Spanish Part Of The Alboran Sea,Mediterranean
Italian Part Of The Adriatic Sea,Mediterranean
San Francisco Bay,NE Pacific
East London,NE Atlantic
Galicia,Mediterranean
Spanish Part Of Gulf Of Cadiz,NE Atlantic
Coast Of Catalane,Mediterranean
Bermuda,NW Atlantic
Egyptian Part Of The Mediterranean Sea - Eastern Basin,Mediterranean
Tunisian Part Of The Mediterranean Sea - Eastern Basin,Mediterranean
Gulf Of Mexico,NW Atlantic
Kommetjie,SE Atlantic
Port St Johns,W Indian
Park Rynie,W Indian
Scottburgh,W Indian
Kraalbaai,SE Atlantic
Kowie River,W Indian
Alaskan Part Of The Gulf Of Alaska,NE Pacific
Rabbit Rock,
Kosi Bay,Indian
Canadian Part Of The Bay Of Fundy,NW Atlantic
North China,NW Pacific
Greece,Mediterranean
French Part Of The English Channel,NE Atlantic
Czech Republic,
St. Lucia,NW Atlantic
Caribbean Sea,NW Atlantic
French Part Of The North Atlantic Ocean,NE Atlantic
French Part Of The North Sea,NE Atlantic
Cuba,NW Atlantic
Dominican Republic,NW Atlantic
Jamaica,NW Atlantic
Virgin Islands Part Of The Caribbean Sea,NW Atlantic
Cayman Islands,NW Atlantic
Bermuda Islands,NW Atlantic
Honduran Part Of The Caribbean Sea,NW Atlantic
Venezuelan Part Of The Caribbean Sea,NW Atlantic
Mexico,NW Atlantic; NE Pacific
Manche,NE Atlantic
United Kingdom,NE Atlantic
Spain,NE Atlantic
Hawaii,NE Pacific
Greek Part Of The Mediterranean Sea - Eastern Basin,Mediterranean
Italian Part Of The Mediterranean Sea - Eastern Basin,Mediterranean
Florida,NW Atlantic
Libyan Part Of The Mediterranean Sea - Eastern Basin,Mediterranean
Groenriviersmond,SE Atlantic
Bloubergstrand,SE Atlantic
Chinese Part Of The Eastern China Sea,NW Pacific
St. Helena Bay,SE Atlantic
Spanish Part Of The Mediterranean Sea - Western Basin,Mediterranean
Cap De Creus,Mediterranean
French Part Of The Mediterranean Sea - Western Basin,Mediterranean
New Zealand Part Of The South Pacific Ocean,SW Pacific
South African Part Of The Indian Ocean,W Indian
South African Exclusive Economic Zone,SE Atlantic; W Indian
Gansbaai,SE Atlantic
Pacific Coast Of The United States,NE Pacific
Moroccan Part Of The Alboran Sea,Mediterranean
Lebanese Part Of The Mediterranean Sea - Eastern Basin,Mediterranean
Algerian Part Of The Mediterranean Sea - Western Basin,Mediterranean
Caspian Sea,Caspian
Australian Part Of The Indian Ocean,E Indian
Trinidad And Tobago,NW Atlantic
India,E Indian; W Indian
Port Jackson,SW Pacific
Japanese Part Of The North Pacific Ocean,NW Pacific
Gulf Of Finland,Baltic
Gulf Of Riga,Baltic
Gulf Of Bothnia,Baltic
Japanese Sea,NW Pacific
Russia,NW Pacific
Hermanus,SE Atlantic
Mozambican Part Of The Indian Ocean,W Indian
Langebaan Lagoon,SE Atlantic
Kenyan Part Of The Indian Ocean,W Indian
Pennsylvania,NW Atlantic
Nigerian Part Of The Gulf Of Guinea,NE Atlantic
Uruguayan Part Of The South Atlantic Ocean,SW Atlantic
Thailand Part Of The Gulf Of Thailand,NW Pacific
Thailand,NW Pacific; E Indian
Basque Coast Of Spain,NE Atlantic
Liaoning,NW Pacific
Shandong,NW Pacific
Japanese Part Of The Inland Sea,NW Pacific
Kattegat,NE Atlantic
Panama,NW Atlantic; NE Pacific
Chinese Part Of The Yellow Sea,NW Pacific
